No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
256,PCG,PG&E Corporation,38.60B,17.56,2.69%,24.94B
257,EL,The Estée Lauder Companies Inc.,38.49B,106.42,0.98%,14.67B
258,MSCI,MSCI Inc.,38.37B,522.22,2.03%,3.13B
259,CCI,Crown Castle Inc.,38.24B,87.81,2.02%,4.26B
260,LVS,Las Vegas Sands Corp.,38.18B,56.83,-1.52%,13.02B
261,COIN,Coinbase Global Inc.,38.05B,141.09,-7.90%,7.18B
262,WDAY,Workday Inc.,37.88B,144.04,-0.35%,9.23B
263,IR,Ingersoll Rand Inc.,37.22B,94.21,-2.63%,7.65B
264,WEC,WEC Energy Group Inc.,37.11B,114.03,0.80%,9.80B
265,PRU,Prudential Financial Inc.,36.23B,104.15,-1.05%,55.66B
266,PYPL,PayPal Holdings Inc.,35.98B,39.08,-3.41%,33.17B
267,LYV,Live Nation Entertainment Inc.,35.96B,154.87,2.49%,24.57B
268,KMB,Kimberly-Clark Corporation,35.93B,108.26,0.61%,16.45B
269,EBAY,eBay Inc.,35.89B,79.41,-4.19%,10.71B
270,GEHC,GE HealthCare Technologies Inc.,35.84B,78.65,-0.69%,20.63B
271,RMD,ResMed Inc.,35.80B,245.73,-4.91%,5.40B
272,ACGL,Arch Capital Group Ltd.,35.69B,99.85,1.26%,19.93B
273,EQT,EQT Corporation,35.68B,57.18,0.44%,7.71B
274,OTIS,Otis Worldwide Corporation,35.67B,91.75,2.61%,14.43B
275,CPRT,Copart Inc.,35.55B,36.72,-7.06%,4.66B
276,KVUE,Kenvue Inc.,35.54B,18.55,0.05%,15.01B
277,UAL,United Airlines Holdings Inc.,35.38B,109.30,-4.07%,59.07B
278,A,Agilent Technologies Inc.,35.32B,124.88,-3.12%,6.95B
279,STT,State Street Corporation,35.25B,126.31,-4.03%,13.89B
280,TTWO,Take-Two Interactive Software Inc.,35.25B,190.36,-6.64%,6.56B
281,HBAN,Huntington Bancshares Incorporated,35.18B,17.33,-3.35%,7.70B
282,FITB,Fifth Third Bancorp,35.15B,53.16,-2.15%,8.36B
283,MTB,M&T Bank Corporation,35.14B,231.40,-1.41%,9.19B
284,EME,EMCOR Group Inc.,35.05B,782.93,-3.16%,16.24B
285,NRG,NRG Energy Inc.,34.73B,161.80,0.73%,29.78B
286,AXON,Axon Enterprise Inc.,34.62B,435.81,0.31%,2.56B
287,ROP,Roper Technologies Inc.,34.09B,319.82,-4.19%,7.90B
288,CHTR,Charter Communications Inc.,33.84B,238.08,-1.24%,54.77B
289,ADM,Archer-Daniels-Midland Company,33.40B,69.50,0.29%,80.27B
290,PAYX,Paychex Inc.,33.19B,92.47,-2.50%,6.03B
291,DG,Dollar General Corporation,32.70B,148.56,0.95%,42.12B
292,IBKR,Interactive Brokers Group Inc.,32.54B,73.06,-4.31%,6.21B
293,EXR,Extra Space Storage Inc.,31.99B,144.34,1.31%,3.42B
294,FICO,Fair Isaac Corporation,31.73B,1337.64,-1.88%,2.06B
